Question,Question Type,Answer Option 1,Explanation 1,Answer Option 2,Explanation 2,Answer Option 3,Explanation 3,Answer Option 4,Explanation 4,Answer Option 5,Explanation 5,Answer Option 6,Explanation 6,Correct Answers,Overall Explanation,Domain
A conversational assistant must scale horizontally across many instances. Where should conversation state live?,multiple-choice,"In the instance handling the conversation, with requests routed back to it.",,"In a shared store the instances read, not in the instance handling the turn.",,"In the model provider, which retains it between the successive requests.",,"In the client, which sends the accumulated conversation with each request.",,,,,,2,"Holding state in a store keeps instances interchangeable, which is what makes scaling and failure recovery straightforward. Pinning a conversation to an instance reintroduces the coupling horizontal scaling was meant to remove. Client-held state is workable and shifts trust and size problems to the client, and the provider retains nothing.",D1 Solution Design & Architecture
A design is complete and nobody can say how it would be evaluated. What does that indicate?,multiple-choice,"Testability was not treated as a design requirement, so it may not be present.",,The system is too complex for a straightforward evaluation to be designed.,,The requirements are insufficiently precise to derive a set of test cases.,,The evaluation strategy has not yet been written by the responsible team.,,,,,,1,"Whether a system can be evaluated depends on choices made while designing it: where boundaries sit, what is observable, whether components can be exercised independently. Discovering afterwards that it cannot be measured means retrofitting seams. A missing document is a smaller problem than a design that resists measurement.",D1 Solution Design & Architecture
An existing rules-based system is to be replaced by an assistant. What should the migration preserve initially?,multiple-choice,The ability to compare both on the same cases while they run together.,,"The rules themselves, expressed in the assistant's prompt as instructions.",,The performance characteristics the existing system currently achieves.,,The interfaces the existing system exposes to its downstream consumers.,,,,,,1,"Running both against the same inputs is the only way to establish whether the replacement is actually better, and it provides a fallback while that is being determined. Preserving interfaces is usually wise and secondary. Transcribing the rules into a prompt discards determinism the rules engine was giving for free.",D1 Solution Design & Architecture
Data residency obligations differ across the regions an assistant serves. What does that determine?,multiple-choice,"The language support, since each region's users have different needs.",,"The deployment topology, since processing must happen where it is permitted.",,"The access controls, since each region's users have in fact different rights.",,"The retention policy, since each region requires a different period.",,,,,,2,"Residency is a constraint on where computation and storage occur, so it drives whether the system is one deployment or several and how data moves between them. That is an architectural decision rather than a policy setting. Retention, access and language are regional variations that do not reshape the topology.",D1 Solution Design & Architecture
The assistant acts on a user's behalf against several downstream systems. What must the architecture carry through?,multiple-choice,"The user's identity, so each system authorizes against them rather than the service.",,"The user's preferences, so each system behaves as that user expects it to.",,"The user's session, and so the systems can correlate the requests to one interaction.",,"The user's region, so each system applies the correct regional handling.",,,,,,1,"Authorization has to be evaluated against the person the work is for, which means identity must survive every hop rather than being replaced by a service account. Without that the assistant becomes a route around access control. Session correlation, preferences and region are useful and do not carry the same consequence.",D1 Solution Design & Architecture
An assistant's reads could be served from the primary store or from a replica. What decides it?,multiple-choice,Whether the replica is located near the users being served.,,Whether the replica holds all of the data the assistant requires.,,Whether the task tolerates data that may be slightly behind.,,Whether the replica has capacity for the additional read volume.,,,,,,3,"Replicas trade freshness for capacity, so the question is what the task can tolerate: a summary of last month is fine, a balance check before a transfer is not. Capacity, completeness and locality are all real constraints and none of them determines whether stale data is acceptable for the work.",D1 Solution Design & Architecture
Interactive and batch workloads share one assistant deployment and interactive latency has become erratic. What is the architectural fix?,multiple-choice,Increase the deployment's capacity so both workloads fit within it.,,Move the batch workload to run outside the interactive peak hours.,,Prioritize interactive requests within the shared deployment's queue.,,"Separate them, so batch volume cannot consume interactive capacity.",,,,,,4,"Workloads with different latency requirements competing for one pool means the tolerant one degrades the sensitive one. Isolating them is the structural answer. Prioritization and scheduling are useful mitigations that leave the coupling in place, and added capacity is consumed by whichever workload grows.",D1 Solution Design & Architecture
A reference architecture separates orchestration from the model and the tools. What does the orchestration layer own?,multiple-choice,"The evaluation, since it observes every step that occurs.",,"The prompts, since these determine how each step behaves.",,"The tools, since these are what the orchestration invokes.",,"Control flow, error handling and what each step is given.",,,,,,4,"Orchestration is where the sequence lives: what runs, in what order, what happens when a step fails, and what context each step receives. Prompts and tools are resources it uses rather than what it is, and evaluation observes the system from outside rather than being a layer within it.",D1 Solution Design & Architecture
A design document describes normal operation only. What is the most consequential omission?,multiple-choice,What the system does when its configuration is changed at runtime.,,What the system does when a dependency is unavailable or degraded.,,What the system does when its request volume exceeds expectations.,,What the system does when a user supplies an unexpected input.,,,,,,2,"Degraded behaviour is where designs are actually tested and where the choices are least obvious: fail closed, serve stale, answer partially, queue. Leaving it unspecified means it gets decided by whichever exception propagates first. Volume, inputs and configuration changes are all worth specifying and are narrower cases.",D1 Solution Design & Architecture
An organization cannot tell which of its assistant's use cases account for its spend. What does the architecture need to provide?,multiple-choice,A report of total consumption broken down by the model tier used.,,Attribution of consumption to the use case that generated it.,,"A separate deployment per use case, so the costs are naturally separated.",,"A budget per use case, enforced by the platform at request time.",,,,,,2,"Making cost attributable is a design property: tagging requests with the use case and recording consumption against it. Without it optimization is guesswork. Separate deployments achieve attribution at a large operational cost, budgets control spend without explaining it, and tier breakdowns do not map to purpose.",D1 Solution Design & Architecture
A requirement can be met by an existing report and a scheduled email. What should the architect conclude?,multiple-choice,"That is the proportionate solution, and it should be said plainly.",,An assistant would be more flexible and should still be considered.,,"The requirement is under-specified, since it has such a simple answer.",,The simpler solution should be built first and extended later.,,,,,,1,"Recognizing when the requirement does not need an assistant is part of the job, and saying so protects the organization from cost and risk it would gain nothing from. Treating a simple answer as evidence of a badly stated requirement is how proportionate solutions get talked out of existence.",D1 Solution Design & Architecture
An output is consumed only by another program. What does requesting a structured format rather than prose change?,multiple-choice,"Better accuracy, since a structured format constrains what can be said.",,"Fewer output tokens and no parsing risk, since the shape is constrained.",,"Fewer input tokens, since the schema replaces formatting instructions.",,"Better cache reuse, since in fact a structured prefix is more stable than prose.",,,,,,2,"Prose spends tokens on connective language a structured response omits, and output is the more expensive side, so the format choice reduces cost as well as removing a class of parse failure. Accuracy of content is unaffected by the container, and caching concerns the prompt rather than the response.","D2 Claude Models, Prompting & Context Engineering"
Source material arrives in several languages and the output must be in one. Where is that specified?,multiple-choice,"In the instruction, stating the output language independently of the input.",,"In the schema, by constraining each field to the required language.",,In a postprocessing step that translates the output once produced.,,In a preprocessing step that translates the material well before it is sent.,,,,,,1,"Stating the output language explicitly decouples it from whatever the source happens to be, which prevents the output drifting into the input's language. Translating either end adds a lossy step where none is needed, and schemas constrain structure rather than language.","D2 Claude Models, Prompting & Context Engineering"
"A prompt must fit reference material, examples, instructions and a conversation into a fixed window. What should be decided first?",multiple-choice,"What each section is worth, so the window is allocated rather than filled.",,"Which section arrives last, and so it can be truncated when space runs out.",,"Whether a larger window is available, so no section needs reducing.",,"Which section is largest, so it can be reduced before the others are.",,,,,,1,"Treating the window as a budget to allocate, rather than something filled until it overflows, is what keeps the important material intact. The allocation follows from what each section contributes to a correct answer. Reducing the largest section is a decision made without reference to value.","D2 Claude Models, Prompting & Context Engineering"
Tool output is accumulating and crowding out earlier context. Which mechanism addresses bulk of that kind?,multiple-choice,"Removing the earliest turns, recovering space from the oldest content.",,"Trimming each result where it is returned, before it is appended.",,"Increasing the window, so the accumulated output continues to fit.",,Summarizing the whole conversation once the window approaches full.,,,,,,2,"The growth originates where results are appended, so bounding it there prevents the problem rather than reacting to it. Whole-conversation compaction and front-trimming both discard content indiscriminately, including the constraints agreed early, and a larger window postpones the same accumulation.","D2 Claude Models, Prompting & Context Engineering"
A prompt carries twelve few-shot examples and eight would cover the same decisions. What is the argument for reducing?,multiple-choice,The extras make the prompt harder for the team to maintain over time.,,"The extras slow the response, which affects the user's experience.",,The extras increase the chance the model copies one of them directly.,,The extras cost budget on every request without changing behaviour.,,,,,,4,"Examples earn their place by covering decisions the model would otherwise get wrong, and duplicates of covered ground are paid for on every call for nothing. Maintenance and latency are secondary effects, and copying is a risk of poorly chosen examples rather than of their number.","D2 Claude Models, Prompting & Context Engineering"
A prompt lists many things the output must not contain and violations persist. What is the more effective formulation?,multiple-choice,Ranking the prohibitions so the most important are emphasized.,,Specifying what the output should contain instead.,,Repeating the prohibitions at the end as well as the beginning.,,Illustrating each prohibition with an example of the violation.,,,,,,2,"A list of prohibitions describes the complement of what is wanted and leaves the model to infer the target from what is forbidden. Positive specification removes the inference. Ranking and repetition adjust emphasis, and examples of violations reinforce the framing causing the trouble.","D2 Claude Models, Prompting & Context Engineering"
A model is used to grade outputs against a rubric. What does its prompt need beyond the rubric?,multiple-choice,"A larger model tier, so its judgment is rather more reliable than the generator's.",,"An instruction to grade strictly, so scores are not inflated by leniency.",,"Examples spanning the score range, including outputs that should score poorly.",,"The reasoning that produced each output, so the grading is well informed.",,,,,,3,"A judge is an instrument and needs calibration: examples at each point of the scale, particularly the failures, so its scores mean something comparable across runs. Instructing it to be strict shifts the distribution without anchoring it, and showing it the generator's reasoning biases it toward agreement.","D2 Claude Models, Prompting & Context Engineering"
A batch job's prompt has never been exercised on the data it will process. What should precede the run?,multiple-choice,A review of the prompt by someone other than its author.,,"A small sample through the same prompt, inspected before committing.",,"A lower reasoning setting, to limit the cost if the prompt is wrong.",,A dry run that validates the batch's format without calling the model.,,,,,,2,"A batch commits the whole cost before any output is seen, so a small sample is the cheapest way to discover that the prompt misreads this data. Review and format validation catch different classes of problem, and reducing the setting limits the loss without preventing it.","D2 Claude Models, Prompting & Context Engineering"
